time,us,acc
15:52:19.467,12086504,37.37
15:52:19.502,12118524,38.82
15:52:19.536,12150540,35.01
15:52:19.569,12182564,35.45
15:52:19.606,12214592,36.91
15:52:19.643,12246620,36.87
15:52:19.643,12278640,37.26
15:52:19.678,12310668,34.66
15:52:19.714,12342704,35.74
15:52:19.751,12374724,37.38
15:52:19.787,12406748,35.37
15:52:19.825,12438764,36.00
15:52:19.863,12470780,42.60
15:52:19.900,12502796,35.39
15:52:19.938,12534812,34.37
15:52:19.938,12566836,36.84
15:52:19.973,12598868,41.33
15:52:20.010,12630888,35.23
15:52:20.046,12662908,41.18
15:52:20.083,12694936,41.35
15:52:20.119,12726956,42.97
15:52:20.157,12758988,38.52
15:52:20.157,12791012,40.58
15:52:20.195,12823028,41.98
15:52:20.233,12855056,34.60
15:52:20.268,12887072,39.36
15:52:20.305,12919092,36.64
15:52:20.338,12951124,36.09
15:52:20.372,12983144,39.41
15:52:20.405,13015164,35.18
15:52:20.439,13047200,32.42
15:52:20.476,13079212,37.45
15:52:20.514,13111244,36.90
15:52:20.514,13143272,35.89
15:52:20.551,13175312,34.90
15:52:20.588,13207336,38.68
15:52:20.625,13239368,39.68
15:52:20.662,13271396,34.07
15:52:20.700,13303416,34.20
15:52:20.700,13335428,38.02
15:52:20.736,13367440,37.37
15:52:20.774,13399476,36.56
15:52:20.810,13431500,39.90
15:52:20.847,13463528,37.95
15:52:20.884,13495552,36.54
15:52:20.921,13527576,33.03
15:52:20.956,13559592,37.29
15:52:20.992,13591624,36.41
15:52:20.992,13623656,31.55
15:52:21.027,13655676,36.84
15:52:21.060,13687696,40.83
15:52:21.098,13719700,39.51
15:52:21.134,13751732,40.79
15:52:21.168,13783752,42.02
15:52:21.206,13815768,37.29
15:52:21.243,13847796,39.40
15:52:21.280,13879824,35.65
15:52:21.280,13911840,34.91
15:52:21.317,13943868,31.07
15:52:21.353,13975904,34.35
15:52:21.390,14007928,38.37
15:52:21.425,14039952,38.10
15:52:21.463,14071980,39.39
15:52:21.500,14104020,41.99
15:52:21.534,14136060,37.72
15:52:21.571,14168084,36.83
15:52:21.571,14200116,36.22
15:52:21.605,14232140,43.22
15:52:21.640,14264160,34.76
15:52:21.674,14296176,38.93
15:52:21.709,14328216,35.00
15:52:21.743,14360248,39.25
15:52:21.779,14392264,37.20
15:52:21.813,14424280,36.23
15:52:21.851,14456312,37.80
15:52:21.884,14488340,37.84
15:52:21.919,14520368,36.39
15:52:21.954,14552392,34.75
15:52:21.954,14584416,38.36
15:52:21.992,14616444,38.41
15:52:22.026,14648468,38.50
15:52:22.062,14680504,33.59
15:52:22.098,14712516,40.44
15:52:22.135,14744532,38.03
15:52:22.171,14776552,39.45
15:52:22.209,14808592,39.62
15:52:22.209,14840620,41.18
15:52:22.245,14872644,39.44
15:52:22.283,14904668,36.13
15:52:22.320,14936680,34.03
15:52:22.353,14968696,33.25
15:52:22.391,15000728,34.24
15:52:22.426,15032744,39.18
15:52:22.462,15064768,38.69
15:52:22.499,15096800,37.48
15:52:22.499,15128820,41.00
15:52:22.536,15160844,35.87
15:52:22.573,15192868,30.52
15:52:22.606,15224896,36.31
15:52:22.644,15256920,33.90
15:52:22.679,15288948,38.89
15:52:22.717,15320976,33.69
15:52:22.752,15352984,37.85
15:52:22.752,15385016,40.71
15:52:22.789,15417036,39.21
15:52:22.824,15449064,35.95
15:52:22.861,15481088,36.45
15:52:22.896,15513124,37.43
15:52:22.934,15545140,39.14
15:52:22.971,15577160,36.43
15:52:23.008,15609196,34.33
15:52:23.042,15641228,33.25
15:52:23.075,15673248,37.69
15:52:23.075,15705272,36.24
15:52:23.108,15737304,38.47
15:52:23.142,15769324,37.30
15:52:23.176,15801340,38.33
15:52:23.209,15833364,40.31
15:52:23.243,15865384,39.58
15:52:23.278,15897404,32.68
15:52:23.315,15929432,38.23
15:52:23.349,15961456,35.15
15:52:23.384,15993484,33.83
15:52:23.420,16025512,37.27
15:52:23.457,16057540,38.16
15:52:23.457,16089564,35.77
15:52:23.495,16121596,41.84
15:52:23.529,16153620,40.88
15:52:23.565,16185644,33.94
15:52:23.601,16217680,39.19
15:52:23.636,16249712,37.99
15:52:23.672,16281736,36.25
15:52:23.711,16313760,35.08
15:52:23.748,16345776,35.61
15:52:23.748,16377800,34.32
15:52:23.783,16409824,38.90
15:52:23.819,16441848,34.56
